frame,tempo,atividade/emocao
1,00:00,medo
1,00:00,triste
1,00:00,neutro
2,00:00,medo
2,00:00,triste
2,00:00,neutro
3,00:00,triste
3,00:00,medo
3,00:00,neutro
4,00:00,triste
4,00:00,medo
4,00:00,feliz
5,00:00,triste
5,00:00,triste
5,00:00,feliz
6,00:00,triste
6,00:00,medo
6,00:00,feliz
7,00:00,triste
7,00:00,medo
7,00:00,feliz
7,00:00,medo
8,00:00,triste
8,00:00,medo
8,00:00,feliz
8,00:00,medo
9,00:00,triste
9,00:00,triste
9,00:00,feliz
9,00:00,medo
10,00:00,triste
10,00:00,medo
10,00:00,neutro
11,00:00,triste
11,00:00,medo
11,00:00,neutro
11,00:00,medo
12,00:00,triste
12,00:00,neutro
12,00:00,neutro
12,00:00,medo
13,00:00,triste
13,00:00,medo
13,00:00,neutro
14,00:00,triste
14,00:00,neutro
14,00:00,neutro
14,00:00,medo
15,00:00,triste
15,00:00,medo
15,00:00,neutro
16,00:00,neutro
16,00:00,triste
16,00:00,neutro
16,00:00,medo
17,00:00,neutro
17,00:00,triste
17,00:00,neutro
18,00:00,triste
18,00:00,triste
18,00:00,neutro
19,00:00,triste
19,00:00,triste
19,00:00,neutro
20,00:00,triste
20,00:00,triste
20,00:00,neutro
21,00:00,triste
21,00:00,triste
21,00:00,feliz
21,00:00,medo
22,00:00,triste
22,00:00,triste
22,00:00,triste
22,00:00,medo
23,00:00,triste
23,00:00,triste
23,00:00,triste
23,00:00,medo
24,00:00,medo
24,00:00,triste
24,00:00,feliz
25,00:00,triste
25,00:00,triste
25,00:00,feliz
26,00:00,triste
26,00:00,triste
26,00:00,feliz
27,00:00,triste
27,00:00,triste
27,00:00,feliz
27,00:00,medo
28,00:00,triste
28,00:00,neutro
28,00:00,feliz
28,00:00,medo
29,00:00,triste
29,00:00,neutro
29,00:00,feliz
29,00:00,medo
30,00:01,triste
30,00:01,neutro
30,00:01,neutro
30,00:01,medo
31,00:01,triste
31,00:01,neutro
31,00:01,neutro
31,00:01,medo
32,00:01,triste
32,00:01,neutro
32,00:01,neutro
32,00:01,medo
33,00:01,triste
33,00:01,triste
33,00:01,neutro
33,00:01,medo
34,00:01,triste
34,00:01,triste
34,00:01,feliz
34,00:01,medo
35,00:01,triste
35,00:01,triste
35,00:01,feliz
35,00:01,medo
36,00:01,triste
36,00:01,medo
36,00:01,feliz
36,00:01,medo
37,00:01,triste
37,00:01,triste
37,00:01,feliz
37,00:01,medo
38,00:01,triste
38,00:01,triste
38,00:01,neutro
38,00:01,medo
39,00:01,triste
39,00:01,triste
39,00:01,neutro
39,00:01,medo
40,00:01,triste
40,00:01,triste
40,00:01,neutro
40,00:01,medo
41,00:01,triste
41,00:01,triste
41,00:01,neutro
41,00:01,triste
42,00:01,triste
42,00:01,neutro
42,00:01,neutro
42,00:01,medo
43,00:01,triste
43,00:01,neutro
43,00:01,neutro
44,00:01,triste
44,00:01,neutro
44,00:01,neutro
44,00:01,triste
45,00:01,triste
45,00:01,triste
45,00:01,neutro
46,00:01,triste
46,00:01,triste
46,00:01,feliz
47,00:01,triste
47,00:01,triste
47,00:01,feliz
48,00:01,triste
48,00:01,triste
48,00:01,feliz
49,00:01,triste
49,00:01,triste
49,00:01,neutro
50,00:01,triste
50,00:01,triste
50,00:01,neutro
50,00:01,medo
51,00:01,triste
51,00:01,triste
51,00:01,neutro
51,00:01,medo
52,00:01,triste
52,00:01,neutro
52,00:01,feliz
52,00:01,medo
53,00:01,neutro
53,00:01,triste
53,00:01,feliz
53,00:01,medo
54,00:01,neutro
54,00:01,triste
54,00:01,neutro
54,00:01,medo
55,00:01,triste
55,00:01,neutro
55,00:01,neutro
55,00:01,medo
56,00:01,triste
56,00:01,neutro
56,00:01,neutro
56,00:01,medo
57,00:01,triste
57,00:01,triste
57,00:01,neutro
57,00:01,medo
58,00:01,triste
58,00:01,medo
58,00:01,neutro
58,00:01,medo
59,00:01,triste
59,00:01,medo
59,00:01,feliz
59,00:01,medo
60,00:02,triste
60,00:02,medo
60,00:02,neutro
60,00:02,medo
61,00:02,triste
61,00:02,medo
61,00:02,neutro
61,00:02,triste
62,00:02,triste
62,00:02,medo
62,00:02,feliz
62,00:02,triste
63,00:02,medo
63,00:02,triste
63,00:02,feliz
63,00:02,triste
64,00:02,neutro
64,00:02,triste
64,00:02,neutro
65,00:02,triste
65,00:02,triste
65,00:02,feliz
66,00:02,triste
66,00:02,triste
66,00:02,feliz
67,00:02,triste
67,00:02,triste
67,00:02,feliz
68,00:02,triste
68,00:02,triste
68,00:02,feliz
69,00:02,triste
69,00:02,triste
69,00:02,neutro
70,00:02,triste
70,00:02,triste
70,00:02,feliz
71,00:02,triste
71,00:02,triste
71,00:02,feliz
72,00:02,neutro
72,00:02,neutro
72,00:02,triste
72,00:02,medo
73,00:02,neutro
73,00:02,triste
73,00:02,feliz
73,00:02,medo
74,00:02,neutro
74,00:02,triste
74,00:02,feliz
74,00:02,medo
75,00:02,neutro
75,00:02,triste
75,00:02,feliz
75,00:02,medo
76,00:02,triste
76,00:02,triste
76,00:02,feliz
76,00:02,medo
77,00:02,triste
77,00:02,triste
77,00:02,neutro
77,00:02,medo
78,00:02,triste
78,00:02,triste
78,00:02,neutro
78,00:02,medo
79,00:02,triste
79,00:02,triste
79,00:02,feliz
79,00:02,medo
80,00:02,triste
80,00:02,triste
80,00:02,feliz
80,00:02,medo
81,00:02,triste
81,00:02,triste
81,00:02,neutro
81,00:02,medo
82,00:02,triste
82,00:02,feliz
82,00:02,triste
82,00:02,medo
83,00:02,triste
83,00:02,feliz
83,00:02,triste
83,00:02,medo
84,00:02,triste
84,00:02,triste
84,00:02,neutro
84,00:02,medo
85,00:02,triste
85,00:02,triste
85,00:02,feliz
85,00:02,triste
86,00:02,triste
86,00:02,triste
86,00:02,neutro
86,00:02,triste
87,00:02,triste
87,00:02,triste
87,00:02,neutro
88,00:02,triste
88,00:02,triste
88,00:02,neutro
89,00:02,triste
89,00:02,triste
89,00:02,feliz
89,00:02,mao no rosto
90,00:03,neutro
90,00:03,triste
90,00:03,feliz
91,00:03,neutro
91,00:03,triste
91,00:03,neutro
92,00:03,neutro
92,00:03,triste
92,00:03,neutro
93,00:03,triste
93,00:03,triste
93,00:03,neutro
94,00:03,neutro
94,00:03,neutro
94,00:03,triste
94,00:03,triste
95,00:03,neutro
95,00:03,neutro
95,00:03,triste
95,00:03,triste
96,00:03,neutro
96,00:03,triste
96,00:03,neutro
96,00:03,triste
96,00:03,mao no rosto
97,00:03,neutro
97,00:03,triste
97,00:03,neutro
97,00:03,medo
98,00:03,neutro
98,00:03,neutro
